id,title,actual_label,predicted_label,tokens_used,processing_time,model,prompt_type
748,Alex Rodriguez and Jennifer Lopez’s dating history before they hooked up,fake,fake,973,0.3683741092681885,gpt-4o,few_shot
20,Connecting People Through News,fake,real,964,0.7011120319366455,gpt-4o,few_shot
1088,Married at First Sight Producer Gives Inside Look at Matching Process,real,real,971,0.7720839977264404,gpt-4o,few_shot
466,Katy Perry Pressuring Robert Pattinson To Get Married ,fake,fake,971,0.4943199157714844,gpt-4o,few_shot
491,Robin Roberts and Michael Strahan spark feud rumors,fake,fake,970,3.0055999755859375,gpt-4o,few_shot
1521,"Lauren Bushnell has a new boyfriend after split from 'Bachelor' star Ben Higgins, source says",real,real,979,0.46126317977905273,gpt-4o,few_shot
1038,Summer 2018: The Best Celebrity Vacation Spots,real,fake,971,0.48204922676086426,gpt-4o,few_shot
315,"Tom Cruise is 'diabolical,' says Leah Remini",fake,fake,973,0.9698209762573242,gpt-4o,few_shot
484,"Hold Up, Is Caitlyn Jenner Adopting a Baby?!",fake,fake,988,0.5271182060241699,gpt-4o,few_shot
1833,"George Clooney Shows Off Pics of His Twins, Jokes They’re Like Models",real,real,976,0.6432650089263916,gpt-4o,few_shot
106,"Halle Berry NOT Pregnant At 50, Despite Reports",fake,fake,972,0.33539295196533203,gpt-4o,few_shot
1525,Snow White Parody Film Under Fire For Body Shaming,real,real,971,0.71213698387146,gpt-4o,few_shot
105,Justin Bieber: Hollywood Elites Killed My Unborn Child,fake,fake,973,0.4936819076538086,gpt-4o,few_shot
1645,Drake: New album ‘Scorpion’ features Michael Jackson and Jay-Z,real,real,974,0.3967709541320801,gpt-4o,few_shot
230,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",fake,fake,981,1.4323618412017822,gpt-4o,few_shot
339,"'Yeah, It's Been Hell' Oliver Hudson Jokes About Rumors of Brad Pitt Dating Sister Kate Hudson",fake,real,981,0.5462939739227295,gpt-4o,few_shot
269,"Jamie Foxx Not Renting Out Disneyland For Katie Holmes, Despite Fake News",fake,real,974,0.4842722415924072,gpt-4o,few_shot
763,Caitlyn Jenner spills on sex life with ex-wife Kris Jenner in tell-all book The Secrets of my Life,fake,real,981,0.5184330940246582,gpt-4o,few_shot
1799,Matt Damon Interrupts Chris Hemsworth's Interview with Jimmy Kimmel,real,real,973,0.44455790519714355,gpt-4o,few_shot
1410,"Lala Kent, Kyle Richards and More Bravolebrities Share Their Moms' Beauty Advice",real,real,978,3.49650502204895,gpt-4o,few_shot
1401,"Steve Harvey's Ex-Wife Sues Him for $60 Million; Alleges Torture, Child Endangerment",real,fake,984,0.44904184341430664,gpt-4o,few_shot
782,Kylie Jenner Reignites Travis Scott Engagement Rumors With Diamond Ring On THAT Finger — Pic,fake,fake,979,1.029608964920044,gpt-4o,few_shot
1028,"Golden Globes 2018: Lady Bird Wins Best Motion Picture, Musical or Comedy",real,real,977,0.46224260330200195,gpt-4o,few_shot
1841,National Eating Disorders Association,real,fake,965,0.3939042091369629,gpt-4o,few_shot
1831,Wilmer Valderrama spotted visiting ex Demi Lovato in hospital in LA,real,real,975,0.4665048122406006,gpt-4o,few_shot
4,Orlando Bloom Biography,fake,real,963,0.3757917881011963,gpt-4o,few_shot
1348,I Do! Watch John Cena Adorably Officiate a Couple's Wedding Live on Today Show,real,real,988,0.46831798553466797,gpt-4o,few_shot
772,BREAKING: Supreme Court Issues Its First Bench Warrant Ever,fake,fake,997,0.4593160152435303,gpt-4o,few_shot
726,Paris Jackson Secret Surgery,fake,fake,965,0.4712979793548584,gpt-4o,few_shot
1228,Tristan Thompson Spotted at Ohio Hospital After Khloe Kardashian Gives Birth: Pic,real,real,975,0.4238321781158447,gpt-4o,few_shot
62,"Sofia Richie Hoping To Keep Scott Disick ‘Turned On’ By Emulating His Ex, Kourtney & It’s Working",fake,fake,988,0.5532500743865967,gpt-4o,few_shot
1269,How Carmelo Anthony justified allegedly cheating on La La,real,fake,971,2.633833169937134,gpt-4o,few_shot
563,Celebrity blog: Brad Pitt and Angelina Jolie continue divorce talks — privately,fake,real,973,0.376251220703125,gpt-4o,few_shot
818,Robert Pattinson & Kristen Stewart Reportedly In Talks For 1st Movie Together Since ‘Twilight’,fake,fake,981,0.5391888618469238,gpt-4o,few_shot
435,"Brad Pitt Reportedly ‘Locked Out’ By Shiloh Jolie-Pitt After Angelina Jolie Split, Says ‘Radar Online’",fake,fake,985,0.5997982025146484,gpt-4o,few_shot
1129,Pregnant Heidi Montag shows off her burgeoning baby bump,real,real,970,0.4214620590209961,gpt-4o,few_shot
1294,Aaron Carter Hits Back at Brother Nick After DUI Arrest and Alleges He Was Targeted Because He's Famous,real,real,980,0.5086808204650879,gpt-4o,few_shot
1201,Brandy Skips Ray J’s Baby Shower Amidst Alleged Family Drama,real,fake,976,0.6139938831329346,gpt-4o,few_shot
556,"Brad Pitt Talks Divorce, Quitting Drinking, and Becoming a Better Man",fake,real,974,0.514240026473999,gpt-4o,few_shot
1318,Kourtney Kardashian and Scott Disick Discuss Marriage,real,fake,971,0.4723351001739502,gpt-4o,few_shot
1917,Second Saturday in June,real,fake,965,0.510565996170044,gpt-4o,few_shot
498,"Jennifer Lopez & Alex Rodriguez Might Be Engaged, & There’s An Instagram Post To Prove It — PHOTO",fake,fake,983,0.6508040428161621,gpt-4o,few_shot
128,Celebrities pay tribute to Mary Tyler Moore,fake,real,968,0.4354069232940674,gpt-4o,few_shot
1512,Zayn Malik And Gigi Hadid: ‘Second Wives Club’ Star Shiva Safai Dishes On The ‘Amazing Kids’,real,fake,999,0.43012499809265137,gpt-4o,few_shot
427,Hollywood Mourns Death of ‘Legendary’ Harry Dean Stanton: ‘The Definition of Cool’,fake,real,979,0.3421943187713623,gpt-4o,few_shot
1844,Khloe Kardashian opens up about 'anxiety' becoming a working mom,real,real,974,1.2937374114990234,gpt-4o,few_shot
1622,How Kelsea Ballerini Went From Keith Urban's Biggest Fan to Biggest Opening Act,real,real,978,0.5121469497680664,gpt-4o,few_shot
476,Ellen DeGeneres and Portia de Rossi Exchange Loving Anniversary Tributes in Celebration of Nine Years of Marriage,fake,real,981,0.4298107624053955,gpt-4o,few_shot
1574,Sarah Ferguson: Why she was invited to Prince Harry’s wedding but NOT Prince William’s,real,real,977,0.4874119758605957,gpt-4o,few_shot
459,"Brad Pitt, Girlfriend Neri Oxman ‘Talk on the Phone Several Times a Day’",fake,fake,979,0.577686071395874,gpt-4o,few_shot
1459,The Winners and Losers From Thanksgiving Day Football,real,real,969,0.4234938621520996,gpt-4o,few_shot
1566,Aubrey O'Day shares lingerie snaps amid Trump Jr. divorce drama,real,fake,975,0.46983909606933594,gpt-4o,few_shot
661,Bindi Irwin Does NOT Believe Chandler Powell Is Late Dad ’ s Reincarnation  Despite Late And Wrong Report,fake,fake,984,0.32796478271484375,gpt-4o,few_shot
976,Drake Thinks Chris Brown’s ‘Comment Creeping’ On Rihanna Is ‘Sad & Desperate’,fake,fake,980,0.6322669982910156,gpt-4o,few_shot
