id,title,actual_label,predicted_label,tokens_used,processing_time,model,prompt_type
748,Alex Rodriguez and Jennifer Lopez’s dating history before they hooked up,fake,real,111,0.9272198677062988,gpt-4o,zero_shot
20,Connecting People Through News,fake,fake,104,0.5382080078125,gpt-4o,zero_shot
1088,Married at First Sight Producer Gives Inside Look at Matching Process,real,real,110,0.7976140975952148,gpt-4o,zero_shot
466,Katy Perry Pressuring Robert Pattinson To Get Married ,fake,fake,110,0.3811378479003906,gpt-4o,zero_shot
491,Robin Roberts and Michael Strahan spark feud rumors,fake,fake,109,0.38617706298828125,gpt-4o,zero_shot
1521,"Lauren Bushnell has a new boyfriend after split from 'Bachelor' star Ben Higgins, source says",real,real,118,1.0064880847930908,gpt-4o,zero_shot
1038,Summer 2018: The Best Celebrity Vacation Spots,real,real,109,0.4842040538787842,gpt-4o,zero_shot
315,"Tom Cruise is 'diabolical,' says Leah Remini",fake,real,111,0.479356050491333,gpt-4o,zero_shot
484,"Hold Up, Is Caitlyn Jenner Adopting a Baby?!",fake,fake,127,0.41242408752441406,gpt-4o,zero_shot
1833,"George Clooney Shows Off Pics of His Twins, Jokes They’re Like Models",real,real,115,0.39103198051452637,gpt-4o,zero_shot
106,"Halle Berry NOT Pregnant At 50, Despite Reports",fake,real,110,0.46473193168640137,gpt-4o,zero_shot
1525,Snow White Parody Film Under Fire For Body Shaming,real,real,110,0.6006488800048828,gpt-4o,zero_shot
105,Justin Bieber: Hollywood Elites Killed My Unborn Child,fake,fake,112,0.46576714515686035,gpt-4o,zero_shot
1645,Drake: New album ‘Scorpion’ features Michael Jackson and Jay-Z,real,real,113,0.5850799083709717,gpt-4o,zero_shot
230,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",fake,fake,120,0.5141549110412598,gpt-4o,zero_shot
339,"'Yeah, It's Been Hell' Oliver Hudson Jokes About Rumors of Brad Pitt Dating Sister Kate Hudson",fake,real,120,3.192969799041748,gpt-4o,zero_shot
269,"Jamie Foxx Not Renting Out Disneyland For Katie Holmes, Despite Fake News",fake,real,113,0.3955860137939453,gpt-4o,zero_shot
763,Caitlyn Jenner spills on sex life with ex-wife Kris Jenner in tell-all book The Secrets of my Life,fake,real,120,0.4580039978027344,gpt-4o,zero_shot
1799,Matt Damon Interrupts Chris Hemsworth's Interview with Jimmy Kimmel,real,real,112,0.43056511878967285,gpt-4o,zero_shot
1410,"Lala Kent, Kyle Richards and More Bravolebrities Share Their Moms' Beauty Advice",real,real,117,0.5344159603118896,gpt-4o,zero_shot
1401,"Steve Harvey's Ex-Wife Sues Him for $60 Million; Alleges Torture, Child Endangerment",real,fake,123,0.43115711212158203,gpt-4o,zero_shot
782,Kylie Jenner Reignites Travis Scott Engagement Rumors With Diamond Ring On THAT Finger — Pic,fake,real,117,2.23222279548645,gpt-4o,zero_shot
1028,"Golden Globes 2018: Lady Bird Wins Best Motion Picture, Musical or Comedy",real,real,116,0.4433138370513916,gpt-4o,zero_shot
1841,National Eating Disorders Association,real,real,103,0.45293188095092773,gpt-4o,zero_shot
1831,Wilmer Valderrama spotted visiting ex Demi Lovato in hospital in LA,real,fake,115,0.5550079345703125,gpt-4o,zero_shot
4,Orlando Bloom Biography,fake,fake,103,0.3965637683868408,gpt-4o,zero_shot
1348,I Do! Watch John Cena Adorably Officiate a Couple's Wedding Live on Today Show,real,real,127,0.27939820289611816,gpt-4o,zero_shot
772,BREAKING: Supreme Court Issues Its First Bench Warrant Ever,fake,fake,136,0.6971549987792969,gpt-4o,zero_shot
726,Paris Jackson Secret Surgery,fake,fake,104,0.4099090099334717,gpt-4o,zero_shot
1228,Tristan Thompson Spotted at Ohio Hospital After Khloe Kardashian Gives Birth: Pic,real,real,114,0.37412524223327637,gpt-4o,zero_shot
62,"Sofia Richie Hoping To Keep Scott Disick ‘Turned On’ By Emulating His Ex, Kourtney & It’s Working",fake,fake,127,0.5556919574737549,gpt-4o,zero_shot
1269,How Carmelo Anthony justified allegedly cheating on La La,real,fake,110,0.4283602237701416,gpt-4o,zero_shot
563,Celebrity blog: Brad Pitt and Angelina Jolie continue divorce talks — privately,fake,real,112,0.4353342056274414,gpt-4o,zero_shot
818,Robert Pattinson & Kristen Stewart Reportedly In Talks For 1st Movie Together Since ‘Twilight’,fake,fake,120,0.4562702178955078,gpt-4o,zero_shot
435,"Brad Pitt Reportedly ‘Locked Out’ By Shiloh Jolie-Pitt After Angelina Jolie Split, Says ‘Radar Online’",fake,fake,124,0.46860194206237793,gpt-4o,zero_shot
1129,Pregnant Heidi Montag shows off her burgeoning baby bump,real,real,109,0.40079689025878906,gpt-4o,zero_shot
1294,Aaron Carter Hits Back at Brother Nick After DUI Arrest and Alleges He Was Targeted Because He's Famous,real,real,119,0.4604628086090088,gpt-4o,zero_shot
1201,Brandy Skips Ray J’s Baby Shower Amidst Alleged Family Drama,real,real,114,0.41930699348449707,gpt-4o,zero_shot
556,"Brad Pitt Talks Divorce, Quitting Drinking, and Becoming a Better Man",fake,real,113,0.6419341564178467,gpt-4o,zero_shot
1318,Kourtney Kardashian and Scott Disick Discuss Marriage,real,fake,110,0.3806438446044922,gpt-4o,zero_shot
1917,Second Saturday in June,real,fake,104,0.4886918067932129,gpt-4o,zero_shot
498,"Jennifer Lopez & Alex Rodriguez Might Be Engaged, & There’s An Instagram Post To Prove It — PHOTO",fake,fake,122,0.37769484519958496,gpt-4o,zero_shot
128,Celebrities pay tribute to Mary Tyler Moore,fake,real,107,0.3558471202850342,gpt-4o,zero_shot
1512,Zayn Malik And Gigi Hadid: ‘Second Wives Club’ Star Shiva Safai Dishes On The ‘Amazing Kids’,real,fake,138,0.38841867446899414,gpt-4o,zero_shot
427,Hollywood Mourns Death of ‘Legendary’ Harry Dean Stanton: ‘The Definition of Cool’,fake,real,118,0.3072640895843506,gpt-4o,zero_shot
1844,Khloe Kardashian opens up about 'anxiety' becoming a working mom,real,real,113,0.4383270740509033,gpt-4o,zero_shot
1622,How Kelsea Ballerini Went From Keith Urban's Biggest Fan to Biggest Opening Act,real,real,117,2.5189900398254395,gpt-4o,zero_shot
476,Ellen DeGeneres and Portia de Rossi Exchange Loving Anniversary Tributes in Celebration of Nine Years of Marriage,fake,real,120,0.2824058532714844,gpt-4o,zero_shot
1574,Sarah Ferguson: Why she was invited to Prince Harry’s wedding but NOT Prince William’s,real,real,116,2.194767951965332,gpt-4o,zero_shot
459,"Brad Pitt, Girlfriend Neri Oxman ‘Talk on the Phone Several Times a Day’",fake,fake,118,0.4057610034942627,gpt-4o,zero_shot
1459,The Winners and Losers From Thanksgiving Day Football,real,real,108,0.5189690589904785,gpt-4o,zero_shot
1566,Aubrey O'Day shares lingerie snaps amid Trump Jr. divorce drama,real,real,113,0.37653017044067383,gpt-4o,zero_shot
661,Bindi Irwin Does NOT Believe Chandler Powell Is Late Dad ’ s Reincarnation  Despite Late And Wrong Report,fake,real,122,0.39044189453125,gpt-4o,zero_shot
976,Drake Thinks Chris Brown’s ‘Comment Creeping’ On Rihanna Is ‘Sad & Desperate’,fake,fake,119,0.4260518550872803,gpt-4o,zero_shot
1985,Rob Kardashian Shows Support for Ex Rita Ora During ‘Girls’ Backlash,real,fake,114,0.3819739818572998,gpt-4o,zero_shot
738,Is Ben Affleck really Throwing Dinner Parties Just to Have Single Ladies Over? Find out here Full Story! – Married Biography,fake,fake,140,0.36629724502563477,gpt-4o,zero_shot
614,Amber Rose Asked Club Not To Play Songs By Her Exes,fake,real,123,0.34584808349609375,gpt-4o,zero_shot
1377,Today Show & Good Morning America Epic Halloween Costumes 2017,real,real,112,0.3414640426635742,gpt-4o,zero_shot
1814,Cheryl (singer),real,real,103,0.41212010383605957,gpt-4o,zero_shot
647,Justin Bieber Explains Why He's Not in a Relationship: 'I Got My Heart Broken',fake,fake,117,0.39700794219970703,gpt-4o,zero_shot
725,Gwen Stefani Did Order Blake Shelton To Weight  Report,fake,fake,111,0.3497440814971924,gpt-4o,zero_shot
418,Watch Jenna Dewan Sizzle In Dance Off With J.Lo In 'World Of Dance' Trailer,fake,real,118,1.2058219909667969,gpt-4o,zero_shot
562,Halle Berry & Boyfriend Alex Da Kid Break Up - theJasmineBRAND,fake,real,127,0.3827970027923584,gpt-4o,zero_shot
1390,Suzette Quintanilla on Kim Kardashian and Demi Lovato's costumes,real,real,113,0.3369472026824951,gpt-4o,zero_shot
