id,title,actual_label,predicted_label,tokens_used,processing_time,model,prompt_type
748,Alex Rodriguez and Jennifer Lopez’s dating history before they hooked up,fake,real,111,0.3517570495605469,gpt-3.5-turbo,zero_shot
20,Connecting People Through News,fake,real,103,0.29585886001586914,gpt-3.5-turbo,zero_shot
1088,Married at First Sight Producer Gives Inside Look at Matching Process,real,real,110,0.35493993759155273,gpt-3.5-turbo,zero_shot
466,Katy Perry Pressuring Robert Pattinson To Get Married ,fake,fake,110,0.4054999351501465,gpt-3.5-turbo,zero_shot
491,Robin Roberts and Michael Strahan spark feud rumors,fake,real,108,0.6610960960388184,gpt-3.5-turbo,zero_shot
1521,"Lauren Bushnell has a new boyfriend after split from 'Bachelor' star Ben Higgins, source says",real,real,118,0.33985280990600586,gpt-3.5-turbo,zero_shot
1038,Summer 2018: The Best Celebrity Vacation Spots,real,fake,111,0.4931519031524658,gpt-3.5-turbo,zero_shot
315,"Tom Cruise is 'diabolical,' says Leah Remini",fake,real,111,0.35697102546691895,gpt-3.5-turbo,zero_shot
484,"Hold Up, Is Caitlyn Jenner Adopting a Baby?!",fake,fake,127,0.43947434425354004,gpt-3.5-turbo,zero_shot
1833,"George Clooney Shows Off Pics of His Twins, Jokes They’re Like Models",real,real,115,0.3440570831298828,gpt-3.5-turbo,zero_shot
106,"Halle Berry NOT Pregnant At 50, Despite Reports",fake,fake,112,0.4080328941345215,gpt-3.5-turbo,zero_shot
1525,Snow White Parody Film Under Fire For Body Shaming,real,real,110,0.3671739101409912,gpt-3.5-turbo,zero_shot
105,Justin Bieber: Hollywood Elites Killed My Unborn Child,fake,fake,111,0.7907652854919434,gpt-3.5-turbo,zero_shot
1645,Drake: New album ‘Scorpion’ features Michael Jackson and Jay-Z,real,real,113,0.44448304176330566,gpt-3.5-turbo,zero_shot
230,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",fake,fake,122,0.7504231929779053,gpt-3.5-turbo,zero_shot
339,"'Yeah, It's Been Hell' Oliver Hudson Jokes About Rumors of Brad Pitt Dating Sister Kate Hudson",fake,real,121,0.3964860439300537,gpt-3.5-turbo,zero_shot
269,"Jamie Foxx Not Renting Out Disneyland For Katie Holmes, Despite Fake News",fake,fake,115,0.42140913009643555,gpt-3.5-turbo,zero_shot
763,Caitlyn Jenner spills on sex life with ex-wife Kris Jenner in tell-all book The Secrets of my Life,fake,fake,121,0.35625290870666504,gpt-3.5-turbo,zero_shot
1799,Matt Damon Interrupts Chris Hemsworth's Interview with Jimmy Kimmel,real,fake,113,0.4499640464782715,gpt-3.5-turbo,zero_shot
1410,"Lala Kent, Kyle Richards and More Bravolebrities Share Their Moms' Beauty Advice",real,real,117,0.46214866638183594,gpt-3.5-turbo,zero_shot
1401,"Steve Harvey's Ex-Wife Sues Him for $60 Million; Alleges Torture, Child Endangerment",real,real,122,0.33527708053588867,gpt-3.5-turbo,zero_shot
782,Kylie Jenner Reignites Travis Scott Engagement Rumors With Diamond Ring On THAT Finger — Pic,fake,real,116,0.4551737308502197,gpt-3.5-turbo,zero_shot
1028,"Golden Globes 2018: Lady Bird Wins Best Motion Picture, Musical or Comedy",real,real,116,0.37505507469177246,gpt-3.5-turbo,zero_shot
1841,National Eating Disorders Association,real,real,103,0.5008602142333984,gpt-3.5-turbo,zero_shot
1831,Wilmer Valderrama spotted visiting ex Demi Lovato in hospital in LA,real,real,116,0.4923739433288574,gpt-3.5-turbo,zero_shot
4,Orlando Bloom Biography,fake,real,102,0.33317112922668457,gpt-3.5-turbo,zero_shot
1348,I Do! Watch John Cena Adorably Officiate a Couple's Wedding Live on Today Show,real,real,127,0.4558548927307129,gpt-3.5-turbo,zero_shot
772,BREAKING: Supreme Court Issues Its First Bench Warrant Ever,fake,fake,136,0.43575215339660645,gpt-3.5-turbo,zero_shot
726,Paris Jackson Secret Surgery,fake,fake,104,0.4663999080657959,gpt-3.5-turbo,zero_shot
1228,Tristan Thompson Spotted at Ohio Hospital After Khloe Kardashian Gives Birth: Pic,real,real,114,0.3325529098510742,gpt-3.5-turbo,zero_shot
62,"Sofia Richie Hoping To Keep Scott Disick ‘Turned On’ By Emulating His Ex, Kourtney & It’s Working",fake,fake,127,0.396791934967041,gpt-3.5-turbo,zero_shot
1269,How Carmelo Anthony justified allegedly cheating on La La,real,fake,110,0.37264013290405273,gpt-3.5-turbo,zero_shot
563,Celebrity blog: Brad Pitt and Angelina Jolie continue divorce talks — privately,fake,real,114,0.32277488708496094,gpt-3.5-turbo,zero_shot
818,Robert Pattinson & Kristen Stewart Reportedly In Talks For 1st Movie Together Since ‘Twilight’,fake,real,119,0.3645482063293457,gpt-3.5-turbo,zero_shot
435,"Brad Pitt Reportedly ‘Locked Out’ By Shiloh Jolie-Pitt After Angelina Jolie Split, Says ‘Radar Online’",fake,fake,128,0.323807954788208,gpt-3.5-turbo,zero_shot
1129,Pregnant Heidi Montag shows off her burgeoning baby bump,real,real,110,0.3467257022857666,gpt-3.5-turbo,zero_shot
1294,Aaron Carter Hits Back at Brother Nick After DUI Arrest and Alleges He Was Targeted Because He's Famous,real,real,120,0.40090227127075195,gpt-3.5-turbo,zero_shot
1201,Brandy Skips Ray J’s Baby Shower Amidst Alleged Family Drama,real,real,114,0.3813650608062744,gpt-3.5-turbo,zero_shot
556,"Brad Pitt Talks Divorce, Quitting Drinking, and Becoming a Better Man",fake,real,115,0.33428311347961426,gpt-3.5-turbo,zero_shot
1318,Kourtney Kardashian and Scott Disick Discuss Marriage,real,fake,110,0.3445611000061035,gpt-3.5-turbo,zero_shot
1917,Second Saturday in June,real,real,103,0.34681081771850586,gpt-3.5-turbo,zero_shot
498,"Jennifer Lopez & Alex Rodriguez Might Be Engaged, & There’s An Instagram Post To Prove It — PHOTO",fake,real,121,0.40756797790527344,gpt-3.5-turbo,zero_shot
128,Celebrities pay tribute to Mary Tyler Moore,fake,real,107,0.31995415687561035,gpt-3.5-turbo,zero_shot
