id,title,actual_label,predicted_label,tokens_used,processing_time,model,prompt_type
748,Alex Rodriguez and Jennifer Lopez’s dating history before they hooked up,fake,real,111,0.541193962097168,gpt-4-turbo,zero_shot
20,Connecting People Through News,fake,fake,104,0.5202360153198242,gpt-4-turbo,zero_shot
1088,Married at First Sight Producer Gives Inside Look at Matching Process,real,fake,111,0.538031816482544,gpt-4-turbo,zero_shot
466,Katy Perry Pressuring Robert Pattinson To Get Married ,fake,fake,110,0.5787229537963867,gpt-4-turbo,zero_shot
491,Robin Roberts and Michael Strahan spark feud rumors,fake,fake,109,0.6108889579772949,gpt-4-turbo,zero_shot
1521,"Lauren Bushnell has a new boyfriend after split from 'Bachelor' star Ben Higgins, source says",real,fake,119,0.5340139865875244,gpt-4-turbo,zero_shot
1038,Summer 2018: The Best Celebrity Vacation Spots,real,fake,111,0.6993691921234131,gpt-4-turbo,zero_shot
315,"Tom Cruise is 'diabolical,' says Leah Remini",fake,real,111,0.7151670455932617,gpt-4-turbo,zero_shot
484,"Hold Up, Is Caitlyn Jenner Adopting a Baby?!",fake,fake,127,0.6130249500274658,gpt-4-turbo,zero_shot
1833,"George Clooney Shows Off Pics of His Twins, Jokes They’re Like Models",real,fake,116,0.510596752166748,gpt-4-turbo,zero_shot
106,"Halle Berry NOT Pregnant At 50, Despite Reports",fake,real,111,0.6110670566558838,gpt-4-turbo,zero_shot
1525,Snow White Parody Film Under Fire For Body Shaming,real,fake,111,0.7157909870147705,gpt-4-turbo,zero_shot
105,Justin Bieber: Hollywood Elites Killed My Unborn Child,fake,fake,111,0.7150280475616455,gpt-4-turbo,zero_shot
1645,Drake: New album ‘Scorpion’ features Michael Jackson and Jay-Z,real,real,113,0.37023305892944336,gpt-4-turbo,zero_shot
230,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",fake,fake,122,0.5534820556640625,gpt-4-turbo,zero_shot
339,"'Yeah, It's Been Hell' Oliver Hudson Jokes About Rumors of Brad Pitt Dating Sister Kate Hudson",fake,fake,122,0.7124416828155518,gpt-4-turbo,zero_shot
269,"Jamie Foxx Not Renting Out Disneyland For Katie Holmes, Despite Fake News",fake,fake,115,0.5206809043884277,gpt-4-turbo,zero_shot
763,Caitlyn Jenner spills on sex life with ex-wife Kris Jenner in tell-all book The Secrets of my Life,fake,real,120,0.5044763088226318,gpt-4-turbo,zero_shot
1799,Matt Damon Interrupts Chris Hemsworth's Interview with Jimmy Kimmel,real,fake,113,0.5595741271972656,gpt-4-turbo,zero_shot
1410,"Lala Kent, Kyle Richards and More Bravolebrities Share Their Moms' Beauty Advice",real,fake,118,0.46312499046325684,gpt-4-turbo,zero_shot
1401,"Steve Harvey's Ex-Wife Sues Him for $60 Million; Alleges Torture, Child Endangerment",real,fake,123,0.46910905838012695,gpt-4-turbo,zero_shot
782,Kylie Jenner Reignites Travis Scott Engagement Rumors With Diamond Ring On THAT Finger — Pic,fake,fake,117,0.5544338226318359,gpt-4-turbo,zero_shot
1028,"Golden Globes 2018: Lady Bird Wins Best Motion Picture, Musical or Comedy",real,real,116,0.485044002532959,gpt-4-turbo,zero_shot
1841,National Eating Disorders Association,real,fake,104,0.5364859104156494,gpt-4-turbo,zero_shot
1831,Wilmer Valderrama spotted visiting ex Demi Lovato in hospital in LA,real,fake,117,0.5105850696563721,gpt-4-turbo,zero_shot
4,Orlando Bloom Biography,fake,fake,103,0.9212300777435303,gpt-4-turbo,zero_shot
1348,I Do! Watch John Cena Adorably Officiate a Couple's Wedding Live on Today Show,real,fake,128,1.0223419666290283,gpt-4-turbo,zero_shot
772,BREAKING: Supreme Court Issues Its First Bench Warrant Ever,fake,fake,136,0.7123260498046875,gpt-4-turbo,zero_shot
726,Paris Jackson Secret Surgery,fake,fake,104,0.6117448806762695,gpt-4-turbo,zero_shot
1228,Tristan Thompson Spotted at Ohio Hospital After Khloe Kardashian Gives Birth: Pic,real,fake,115,0.6180911064147949,gpt-4-turbo,zero_shot
62,"Sofia Richie Hoping To Keep Scott Disick ‘Turned On’ By Emulating His Ex, Kourtney & It’s Working",fake,fake,127,0.716099739074707,gpt-4-turbo,zero_shot
1269,How Carmelo Anthony justified allegedly cheating on La La,real,fake,110,0.6095328330993652,gpt-4-turbo,zero_shot
563,Celebrity blog: Brad Pitt and Angelina Jolie continue divorce talks — privately,fake,fake,115,3.0755691528320312,gpt-4-turbo,zero_shot
818,Robert Pattinson & Kristen Stewart Reportedly In Talks For 1st Movie Together Since ‘Twilight’,fake,fake,120,1.0230588912963867,gpt-4-turbo,zero_shot
435,"Brad Pitt Reportedly ‘Locked Out’ By Shiloh Jolie-Pitt After Angelina Jolie Split, Says ‘Radar Online’",fake,fake,128,0.7145102024078369,gpt-4-turbo,zero_shot
1129,Pregnant Heidi Montag shows off her burgeoning baby bump,real,real,110,0.5117290019989014,gpt-4-turbo,zero_shot
1294,Aaron Carter Hits Back at Brother Nick After DUI Arrest and Alleges He Was Targeted Because He's Famous,real,fake,121,0.81809401512146,gpt-4-turbo,zero_shot
1201,Brandy Skips Ray J’s Baby Shower Amidst Alleged Family Drama,real,fake,115,0.5107340812683105,gpt-4-turbo,zero_shot
556,"Brad Pitt Talks Divorce, Quitting Drinking, and Becoming a Better Man",fake,real,115,0.6120717525482178,gpt-4-turbo,zero_shot
1318,Kourtney Kardashian and Scott Disick Discuss Marriage,real,fake,110,0.4395420551300049,gpt-4-turbo,zero_shot
1917,Second Saturday in June,real,fake,104,0.6811180114746094,gpt-4-turbo,zero_shot
498,"Jennifer Lopez & Alex Rodriguez Might Be Engaged, & There’s An Instagram Post To Prove It — PHOTO",fake,fake,122,0.6171259880065918,gpt-4-turbo,zero_shot
128,Celebrities pay tribute to Mary Tyler Moore,fake,fake,108,0.4843900203704834,gpt-4-turbo,zero_shot
1512,Zayn Malik And Gigi Hadid: ‘Second Wives Club’ Star Shiva Safai Dishes On The ‘Amazing Kids’,real,fake,141,0.9460399150848389,gpt-4-turbo,zero_shot
427,Hollywood Mourns Death of ‘Legendary’ Harry Dean Stanton: ‘The Definition of Cool’,fake,real,117,0.510775089263916,gpt-4-turbo,zero_shot
1844,Khloe Kardashian opens up about 'anxiety' becoming a working mom,real,real,113,0.5109131336212158,gpt-4-turbo,zero_shot
1622,How Kelsea Ballerini Went From Keith Urban's Biggest Fan to Biggest Opening Act,real,real,116,0.507390022277832,gpt-4-turbo,zero_shot
